24232,eEc5>>,Seren Weaver,2001-06-13 ,mangement,admin,7321249410
23575,L(8^kB,Sulayman Skinner,2024-05-16 ,human resource ,Assistant Manager,7025555789
54745,=Rb9Y{,Bessie Larson,2000-06-09 ,logistics,admin,7636553998
68054,BLf&L6,Holly Church,2014-04-12 ,human resourse,Foreman,7736097823
68585,Y3gF!8,Craig Jimenez,2022-05-04 ,sales,Lead,7537945936
59557,962@Jz,Saif Villarreal,2017-10-15 ,management,Controller,7366021204
08668,34t%?H,Scarlet Saunders,2012-05-17 ,marketing,Superintendent,7040711864
97979,w(G6kZ,Ashwin Jackson,2010-09-05 ,quality,President,7929794398
34634,&zZ)K9,Thalia Chaney,2005-12-04,finance,admin,7419340557
96965,EzN>6^,Celine Stafford,2000-02-11,accounting,Team Leader,346357326
